slot,arm,luna_side,terminal_cause,luna_outcome,player_turns,requests,luna_turns,tokens,backend_seconds,core_damage,heuristic_core_damage
MATCH-076,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.1594242999562994,0,30
MATCH-077,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2545147000346333,0,0
MATCH-077,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.1897043999633752,0,30
MATCH-077,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.31775410007685423,0,0
MATCH-078,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9617913999245502,0,30
MATCH-078,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3111555999494158,0,30
MATCH-078,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.31234239996410906,0,30
MATCH-079,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2865524999797344,0,0
MATCH-079,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2587925999541767,0,0
MATCH-079,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.158259200048633,0,30
MATCH-080,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.30495580000570044,0,30
MATCH-080,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9535179999656975,0,30
MATCH-080,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.29216700000688434,0,30
MATCH-081,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2780632000649348,0,30
MATCH-081,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.25903829996241257,0,0
MATCH-081,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2821580999880098,0,0
MATCH-082,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.324539499997627,0,30
MATCH-082,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3394292000448331,0,30
MATCH-082,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9907715999288484,0,30
MATCH-083,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2769008000032045,0,0
MATCH-083,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.221725199953653,0,30
MATCH-083,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.26325520005775616,0,0
MATCH-084,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,1.0141294999048114,0,30
MATCH-084,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3064412000239827,0,30
MATCH-084,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3270807000226341,0,30
MATCH-085,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.27171860000817105,0,0
MATCH-085,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2846927999635227,0,0
MATCH-085,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2493235999718308,0,30
MATCH-086,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3324986000661738,0,30
MATCH-086,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9760888000018895,0,30
MATCH-086,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.30598460003966466,0,30
MATCH-087,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2478492999216542,0,30
MATCH-087,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.27104340004734695,0,0
MATCH-087,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2750284999492578,0,0
MATCH-088,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3027651999727823,0,30
MATCH-088,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3258361999760382,0,30
MATCH-088,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9714561000000685,0,30
MATCH-089,bounded,red,TEAM_ELIMINATION,loss,7,3,3,45,0.2636611000052653,0,0
MATCH-089,stepwise,red,CORE_DESTRUCTION,loss,9,14,4,210,1.2106054999749176,0,30
MATCH-089,strict,red,TEAM_ELIMINATION,loss,7,3,3,45,0.25699269998585805,0,0
MATCH-090,stepwise,blue,CORE_DESTRUCTION,loss,6,11,3,165,0.9741429000278004,0,30
MATCH-090,strict,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.308903600089252,0,30
MATCH-090,bounded,blue,CORE_DESTRUCTION,loss,6,3,3,45,0.3075753999291919,0,30
